1,Stylish Queen Anne Apartment,"Welcome to Seattle! Enjoy your stay in a  turn-of-the-century Queen Anne home. Lovely setting in the heart of the city. Cosy up with a cup of coffee in the window seat or enjoy all of the fabulous Seattle restaurants, cafes and shops 1 block away. Centrally located spacious home in the heart of the city- 1 block away from world class restaurants, cafes and shops.  The house is across the street from a soccer field and park making it a perfect location for kids. Start your morning with an El Diablo cafe and then explore Seattle. It's an easy bus ride (or walk- 1/2 mile) to Seattle Center, Pike Place Market and all that downtown Seattle has to offer. Close to Green Lake, the University District and Capital Hill. -Easy access to restaurants, cafes, shopping and grocery stores. -across the street from a soccer field and park -3 blocks to bus stop -1/2 mile to downtown Seattle, Seattle Center, Opera House, Benaroya Hall -Close to Green Lake, the University District, Capitol Hill Easy email,",Seattle,"Gilman Dr W, Seattle, WA 98119, United States",47.63628904,-122.3710252,4,81423,104635,23212,3.7,,,
2,Bright & Airy Queen Anne Apartment,"Chemically sensitive? We've removed the irritants triggering allergy or asthma attacks, like carpeting, forced air & used pillows, all culprits that harbor fungus, mold & bacteria.  No smoking, no pets.  Designed for healthy living, so breathe easy. Beautiful, hypoallergenic apartment in an extremely safe, quiet and pedestrian-friendly section of Queen Anne.  A leafy-green location that puts the best of Seattle at your doorstep. Free WiFi, free parking, ...even free pillows!  What's special about this place? Hypo-allergenic bedding, mattresses/covers and new pillows with each rental. (So feel free to take your new pillows with you!)  A beautiful restoration mixing period details & modern sensibilities: Hardwood floors throughout, white subway tile, low/no VOCs & non-toxic paints keep this home-away-from-home clean, smart and healthy. Radiant heat and oil radiators mean no blowing hot air or dust.  Great Amenities: Free WiFi & internet TV (LED flatscreen). Fully-equipped kitchen with st",Seattle,"7th Avenue West, Seattle, WA 98119, United States",47.63912312,-122.3656665,4,161438,184650,23212,3.7,,,
3,New Modern House-Amazing water view,"New modern house built in 2013.  Spectacular sunset/water views and light, rooftop deck and lounge area, hot tub, 5 bedrooms, gourmet kitchen.  Perfect for 2-3 families, walk to downtown.  Located in highly desirable Queen Anne neighborhood. Our house is modern, light and fresh with a warm simple palette accented with barnwood, steel and concrete.  Open living spaces for entertaining, gourmet kitchen, deck off the kitchen, reading nook, half bath and smaller tv room off kitchen.  Fireplace with sofa and sitting area. Basement room is great for kids...this room has patio access and a garage door that opens into the space with basketball hoop right outside.  A queen bedroom and full bath are in the basement with concrete heated floors.  A queen sleeper sofa is in the tv area in the basement.  This room has a door if privacy is needed.  Great for a second family with kids.  The 2nd floor has 4 bedrooms (one queen in master, one twin bedroom, another bedroom has twin bunk beds and the last",Seattle,"West Lee Street, Seattle, WA 98119, United States",47.62972413,-122.3694832,11,96195,119407,23212,3.7,,,
4,Queen Anne Chateau,"A charming apartment that sits atop Queen Anne hill, northwest facing bay windows with warm afternoon light setting over the Olympic Cascades. The space is perfect for one or two but can accommodate up to three on the fold-out memory foam cot.",Seattle,"8th Avenue West, Seattle, WA 98119, United States",47.6384732,-122.3692791,3,99888,123100,23212,3.7,,,
5,Charming craftsman 3 bdm house,"Cozy family craftman house in beautiful neighborhood of Queen Anne, Seattle, Washinton. 3 bedrooms, can accomodate up to 6 people. 1,200 sq. feet space is your oasis. Perfect location! Cozy family craftman house in beautiful neighborhood of Queen Anne, Seattle, Washinton. 3 bedrooms, can accomodate up to 6 people. 1,200 sq. feet space is your oasis. Perfect location, walking distance to Whole Foods Market, a 7 minute drive from the Seattle Center (Space Needle, chihuly garden and glass, Children's Museum, Key Arena)! Across the street from golf course- 2 min walk! Relax, sun bath and watch the ferry boats go by on the large outdoor deck with a view of Elliot Bay!   Internet, cable TV with HBO, 3 bedrooms and 2 bathrooms each equipped with a bed for 2 (King, Queen, Queen). Washer and dryer in the unit. Fully stocked kitchen with high end All-Clad cookware. For your peace of mind, we have provided a first aid kit and an emergency kit equipped with water and food. We are always available ",Seattle,"14th Ave W, Seattle, WA 98119, United States",47.6329184,-122.3724706,6,32183,55395,23212,3.7,,,
6,Private unit in a 1920s mansion,"We're renting out a small private unit of one of Seattle's most beautiful houses to creative travelers.  The unit has it's own entrance to give you privacy in a cozy room with a new bed, great view/light, antiques and a newly remodeled bathroom. If you include a bit of your background in your housing request, you'll get a better chance to have it accepted.  If you're an artist or musician wanting some more space to create, let me know. As far as the physical space, the room and bathroom are separate from the rest of the house so you'll have as much privacy as you wish.  It doesn't have a TV but hopefully, you'll find more interesting things in Seattle to take your time. You'll get a passcode for the garage through which you get private and exclusive access to your unit. I work mostly from home and happy to give advice on ways to enjoy Seattle and it's surrounding areas.  If you let me know your schedule, I could see if we have overlap. This part of Queen Anne has wonderful views and qu",Seattle,"West Comstock Street, Seattle, WA 98119, United States",47.63052548,-122.3661741,2,124508,147720,23212,3.7,,,
7,Queen Anne Private Bed and Bath,"Enjoy a quiet stay in our comfortable 1915 Craftsman bungalow in the West Queen Anne neighborhood. Street parking (free near entry), coffee, bakeries and neighborhood cafes nearby.  Close to Upper QA shopping district, Seattle Center and bus stops. Enjoy a quiet stay in our comfortable 1915 Craftsman bungalow in the West Queen Anne neighborhood. Street parking (free near entry), coffee, bakeries and neighborhood cafes nearby.  Close to Upper QA shopping district, Seattle Center and bus stops. Come and go as you wish through a separate entry with large foyer and covered exterior porch.  Parking on 10th Avenue West adjacent to entry is convenient and free. The room and bath are isolated from the rest of the house for your peace and privacy. The bedroom has a memory foam top double bed with comforter, pillows, large closet, dresser and desk /task light.   The bathroom has a pedestal sink and foot claw foot tub/shower. The large 5' tub is perfect for soaking your cares away.  We provide be",Seattle,"10th Avenue West, Seattle, WA 98119, United States",47.63660545,-122.3685191,2,75268,98480,23212,3.7,,,
8,Tiny Garden cabin on Queen Anne,"Our tiny cabin is private , very quiet and comfortable spot just for two. The bus is just across the street. Queen Anne ,Ballard and Downtown are a short bus ride. High Speed WI-FI. The bathroom is shared by our guests .  This cabin was built with Airbnb in mind, Queen bed with gel foam topper 110 heat with thermostat . Cherry hardwood floors . Oak bed frame and night stand . This cabin is very well insulated and is warm and quiet . The bathroom and shower is located in our house just a few steps away. There is plenty of street parking all around us. Bus line just a half block away. Just a ten minute bus ride to Pike Place Market. Private large back yard we have chickens that live there too. In the spring and summer the garden is a sight to see. If you want a private stay in a nice space this is it. Food within walking distance ,sculpture park is pretty close as well.  -What you get-  your own private space! use of a shared bathroom (for our guests) we have our own.  our back yard and ",Seattle,"West Wheeler Street, Seattle, WA 98119, United States",47.64016054,-122.375856,2,50648,73860,23212,3.7,,,
9,Urban Charm || Downtown || Views,"Nestled in the heart of the city, this space is turn of the century charm meets urban living; with gorgeous city views, nightlife, shopping, and restaurants within blocks.  Walking Score: 92 Located in the heart of the city, this space is turn of the century meets urban living, with off-street privacy and a yard. Full Apartment Garden area, patio and yard Laundry room I'm available as much or as little as you wish for the duration of your stay.  I'm happy to give you recommendations and insider tips on this great city! Walking Score: 92 4 blocks from Kerry Park Famous Seattle restaurants within 1 block The hill became a popular spot for the city's early economic and cultural elite to build their mansions, and the name derives from the architectural style typical of many of the early homes. According to Wikipedia, Queen Anne's demographic is power-singles, young unmarried professionals. It boasts a bustling main street with restaurants, bars, shopping, coffee shops, farmers market, Trad",Seattle,"Queen Anne Avenue North, Seattle, WA 98109, United States",47.6324103,-122.3572161,2,87578,110790,23212,3.7,,,
10,Airy + Bright Queen Anne Apartment,"Beautiful apartment in an extremely safe, quiet and pedestrian-friendly section of Queen Anne.  A leafy-green location that puts the best of Seattle at your doorstep. Free WiFi, free parking, ...even free pillows!*  What's special about this place? A beautiful restoration mixing period details & modern sensibilities: Hardwood floors throughout, white subway tile, low/no VOCs & non-toxic paints keep this home-away-from-home clean, smart and healthy. Radiant heat and oil radiators mean no blowing hot air or dust.  Hypo-allergenic bedding, mattresses/covers and new pillows with each rental. (That's right, they're yours to keep, so feel free to take your new pillows with you.  More on this, below...)  Great Amenities: Free WiFi & internet TV (LED flatscreen). Fully-equipped kitchen with stainless-steel appliances, sink & disposal. Large washer & dryer.  Iron/ironing board. Hairdryer. Plenty of storage. Convenient parking, both on- and off-street. The Best Location: Enjoy Seattle's celebrat",Seattle,"7th Avenue West, Seattle, WA 98119, United States",47.63749172,-122.3668886,4,161438,184650,23212,3.7,,,
